,0%,1%,5%,10%
67,98323.0,63613.22351,9940.211140000001,12906.80585
68,125848.0,72064.7502,8104.92441,8631.038481
69,81366.0,51566.34867,5966.664677000001,8661.026737
70,64076.0,37906.37418,7305.45638,3535.127186
71,241647.0,150222.2908,62791.55157999999,19125.53323
72,68199.0,46666.87037,28485.80733,12258.92004
73,114196.0,75745.23008,37019.018189999995,14752.82709
74,54143.0,38428.90692,18001.51378,5463.441779
75,83194.0,59086.5635,31130.872689999997,17275.32759
76,76137.0,53594.09861,23646.963630000002,6192.226137
77,113153.0,80733.5096,35631.84598,11801.424790000001
78,443449.0,270425.3694,176446.0841,75545.99575
79,73344.0,49039.55062,24379.0162,11345.324340000001
80,71563.0,55486.811989999995,30103.77835,12782.66842
81,93395.0,67478.64475,38092.90679,19927.54473
82,86579.0,68332.16382,32557.70105,13374.76212
83,123568.0,87578.54168,65757.03865,11127.03773
84,52948.0,34327.9056,23614.44558,24837.94728
85,90309.0,59791.102020000006,39645.84172,43762.628939999995
86,44470.0,28380.426239999997,21215.248369999998,25070.87931
87,179353.0,110790.1504,82774.28672999999,74755.14267999999
89,55281.0,43290.22272,36313.138680000004,35568.16367
90,154484.0,91228.9319,43963.60358,33555.46352
91,101478.0,60210.88956,36499.52259,25822.67791
92,102450.0,77155.77491000001,67645.46462,57931.73112999999
93,101038.0,69013.21772,48632.71895,46376.489010000005
94,63720.0,49052.02682,47275.68542,30189.80485
95,40554.0,26797.41625,23868.24496,21470.8938
96,45233.0,32354.463839999997,24618.53936,24110.557719999997
97,106208.0,73568.49961,57192.89599,54823.413539999994
98,105142.0,64328.03655,28571.46462,24916.75362
99,55931.0,39763.12674,29858.70332,25427.948780000002
100,64939.0,55957.972129999995,45295.25718,34146.16242
101,109882.0,67371.49618999999,56852.64621,47752.46177
102,75574.0,55198.39152999999,46318.385910000005,40713.59045
103,83801.0,53790.04837999999,36924.63654,28848.00475
104,64429.0,43856.05522,30097.433360000003,28388.417289999998
105,70161.0,53959.57796,41842.79255,30044.74538
106,59567.0,46799.70523,31996.16993,27829.10145
107,72220.0,49821.88194,37530.58255,32216.453019999997
108,77855.0,44453.44517,37411.614089999995,23928.53598
109,67189.0,50950.61136,42031.55584,32096.5
110,112090.0,75979.34236000001,55884.24297000001,34087.58071
111,64126.0,43779.73021,33576.071039999995,21286.082459999998
112,67666.0,43016.48015,34485.78318,26143.482509999998
113,130690.0,80456.83145,65446.92754,43617.56947
114,115269.0,71855.59032,54306.721229999996,35568.16367
115,41983.0,26249.931109999998,22638.111109999998,16607.21714
116,32072.0,24672.792269999998,19055.57431,15103.61994
117,65289.0,42111.58848,27630.820689999997,24417.41429
118,54152.0,33563.18775,30351.232739999996,18309.57371
119,65666.0,43060.5138,31124.527710000002,15870.06397
120,176711.0,112434.0736,66188.49758,26591.91154
121,92677.0,71697.06916,43603.52572,18940.02449
122,35415.0,31986.7828,19732.108269999997,6743.870565
123,74074.0,54888.68814,27801.342139999997,13706.72514
124,108833.0,72739.19905,54415.37908,33231.171910000005
125,174616.0,115972.9119,59113.04689,28467.223639999997
126,164785.0,110646.3071,64680.770670000005,55141.42854
127,73655.0,54130.575339999996,26039.02273,9774.07921
128,72223.0,33836.93032,25903.39869,25265.45427
129,58280.0,41684.462,35813.47116,21154.97101
130,73589.0,50393.585589999995,35044.93492,25115.51299
